Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Alternaria brassicicola,-0.25295708,0.48801976,-0.26110077,-0.05652401,-0.6309181,-0.22936228,-0.1474085,0.71442264,-0.508065,-0.04945078,-0.100492254,-0.33982342,0.27004462,0.07355576,-0.18938531,-0.13722825,-0.33154953,-0.2719535,-0.045950774,-0.53424996,-0.28619063,0.37362874,0.3476629,0.263102,-0.14059336,0.27232942,0.014298216,-0.17362443,0.03656233,-0.05957905,-0.29515898,0.13118143,-0.1374793,-0.018421086,0.110673346,0.3254744,0.119966514,-0.120422386,-0.37229422,-0.26360068,0.5901719,-0.42643833,-0.05351715,0.12799487,0.28611088,0.5508872,-0.12557793,-0.15856162,0.48837933,-0.20747432,0.22300124,0.12428588,0.11262777,-0.11721337,0.14039949,0.13668747,-0.11686118,-0.19420248,-0.09224413,0.2936176,0.389381,0.3414416,0.0066773724,-0.06667976,0.08360418,-0.24072014,0.107138135,0.201582,-0.5839736,0.29953176,-0.4072471,0.42781913,0.7713977,0.05453402,0.14864986,0.41581437,0.0826292,-0.18451823,0.11894736,0.10637906,0.2351729,0.08636779,0.027353564,0.3913744,0.008112266,-0.22310962,-0.102340676,0.33612427,0.09134174,0.14440136,0.10308941,0.2918794,0.042900447,0.33029687,-0.10429983,-0.48392874,0.103028305,-0.23026207,0.005287359,0.12326115
Salmonella enterica,0.12598084,0.24545954,0.022967204,0.20703478,0.11534975,-0.13462453,0.64457226,0.5437533,0.20738582,-0.4729902,0.18337497,-0.04957206,-0.42439526,0.22949629,-0.04063441,0.10578854,-0.18309274,0.16526605,-0.17226219,-0.7182759,-0.17580836,0.092377946,0.22217108,-0.37534449,0.14294237,-0.53046197,-0.19324905,-0.09047204,0.25368926,-0.14754064,0.119402446,0.26336703,0.05310654,-0.2518331,-0.18028192,-0.016090548,0.14029081,-0.37926888,-0.046128303,-0.019538246,0.39822233,-0.0039673,0.21017464,0.04027889,0.4510974,-0.15790088,-0.47231007,-0.043239295,-0.113413826,0.29575625,-0.16482666,-0.4730325,-0.09752681,-0.15240428,-0.009718089,-0.23565069,0.11635999,-0.42967856,0.02050359,-0.5110585,-0.42706585,-0.35114777,0.34088737,0.08864084,-0.19618051,0.47245553,0.0083943475,0.11564818,-0.43845928,-0.23318177,0.17334579,0.473288,-0.060173795,0.44925684,0.45091164,-0.31960577,0.019249475,0.18018901,-0.37738514,0.39831683,-0.047175195,-0.32242522,-0.1794929,0.06388972,-0.18989582,-0.07166436,0.25585365,-0.080654934,-0.1341012,0.02245739,0.12523915,-0.06696202,0.07537154,0.051177517,0.20360257,0.11958383,0.34830004,-0.3999673,0.11732608,-0.017345356
Escherichia coli,-0.5551643,0.15492655,0.12003036,0.27155095,0.08232466,-0.18075882,-0.02712464,0.5463244,-0.20143573,0.025073249,-0.013988675,-0.45841554,0.06740952,-0.01975332,-0.15385616,-0.04513954,0.08293737,0.2766803,-0.01626879,-0.5243415,0.22333628,-0.06943457,0.45527747,-0.2192725,0.22763312,-0.3982417,-0.18712765,0.41563562,-0.2756055,0.10714165,0.17055818,-0.07502725,0.16031864,-0.13777876,-0.0919197,0.2935544,-0.05281608,0.01863133,0.12965739,0.0204323,0.09752163,0.036278524,-0.4369705,0.2042372,0.0356393,-0.03467904,-0.057307754,0.20303342,-0.13157175,0.4320797,-0.14475134,0.058909066,-0.32354316,0.012842422,-0.04348311,0.09003175,0.24783827,-0.16308053,-0.20336555,0.03200018,0.10034764,0.0488017,0.19756526,-0.2557301,-0.21685752,0.19657513,0.17861779,-0.230448,0.13802153,0.08262357,0.33711767,0.19853131,-0.03580488,0.11676352,0.50834733,0.04964233,0.030810844,0.27294287,0.0007011865,-0.5670746,-0.17338309,-0.29798508,-0.2759156,0.4329489,-0.5365577,-0.18381034,0.2789845,-0.17105797,0.23599844,-0.10255282,-0.038503192,0.18414648,-0.103760995,-0.27383724,0.2861546,-0.23564439,-0.30943805,-0.08507334,-0.15246983,0.37196943
Listeria innocua,-0.14832929,0.62332976,-0.1138424,-0.42200163,0.22061229,-0.28715688,0.30464634,0.51855284,0.3304132,-0.032356583,0.06536385,-0.27429515,-0.14018983,0.41404575,-0.42493346,-0.15058082,0.5147202,-0.23277272,0.18339507,-0.35575357,0.11896888,0.102305196,0.14571582,0.13350625,0.45100215,-0.040297665,0.08350915,-0.07363199,-0.26332086,0.20313384,-0.017804692,0.5986653,-0.073922664,-0.10265804,-0.04535756,0.2727977,-0.35684144,-0.28497043,-0.4189521,-0.20077227,-0.036508888,-0.0078631425,0.088616714,-0.18329908,0.7266204,0.033480037,0.30656987,0.058483556,0.11964209,-0.1041528,-0.11710411,0.22238696,0.58922094,0.26497382,-0.36789912,0.1528094,0.22517243,-0.11974902,0.38587192,-0.26713604,0.09415077,0.35346636,-0.44226983,-0.4430902,-0.1385123,0.044887353,0.43411225,0.21034114,-0.6007761,-0.34780464,-0.76527876,-0.51483923,0.08422617,0.10673764,0.40816998,-0.12137316,-0.062190477,-0.15695532,-0.48797858,-0.28352255,0.05457668,0.05314485,-0.09582079,0.030114407,0.25677985,0.44357318,0.19711435,-0.23467533,-0.059209954,-0.093125686,0.7738413,0.4101984,0.034177344,-0.048287585,0.4193368,0.0711335,-0.1273257,-0.18770471,0.025097124,-0.18021284
Micrococcus luteus,-0.0895267,-0.034194972,-0.41074848,0.15344499,0.48343948,-0.45117185,0.24135134,0.30842862,-0.31757945,-0.38424107,0.37497953,-0.5032513,-0.24989432,0.19326077,-0.50756866,-0.024215551,0.44911805,-0.79756254,0.23159051,-0.32920808,0.2590182,0.26861724,0.017094001,-0.3953553,0.0907823,0.12428447,0.007439257,0.28113824,0.032137077,0.11293177,-0.2171599,-0.18060274,0.105636336,0.039832674,-0.5481446,0.7508697,-0.06893135,-0.40018615,0.020719424,-0.077993035,0.25762427,0.43516207,0.10583293,0.121796384,0.03306994,-0.37157235,-0.23506086,0.21905026,0.21250036,0.57046515,0.084391244,0.38278925,-0.10031022,0.37790376,-0.14111765,-0.17197804,-0.02593729,0.28796926,-0.032340966,0.10868612,0.10682903,0.22091705,-0.07170775,-0.34860724,0.21357821,0.10687492,-0.10967123,-0.037587788,-0.32950452,-0.11339649,0.07487163,0.4081135,0.26598883,-0.58766115,-0.032107577,0.1872219,0.15445128,0.08734233,0.08477349,-0.33134544,0.10581163,-0.019873885,0.065087676,0.5446942,0.0046920273,-0.21246287,0.19577804,-0.031180615,0.20911296,0.45157018,0.06027696,0.41546923,-0.22828886,0.13593657,0.2549738,-0.4770343,0.040154893,-0.012900649,0.46738595,0.32182923
Streptococcus pyogenes,0.32230538,-0.07685683,-0.1859771,0.11994828,0.21626113,0.19419678,0.43496668,0.28723848,-0.17440948,0.005609464,-0.33673066,-0.24089561,0.054107923,0.08276516,-0.32504955,-0.2984443,0.18870774,-0.476316,-0.454631,-0.4713479,0.108784325,0.02207219,0.17736046,-0.28517398,-0.36590606,0.021189438,0.26805943,0.23263356,0.008186008,0.53786266,0.12764496,-0.14878008,0.28775692,-0.09683381,-0.2745873,0.3024297,-0.06293358,0.15992515,-0.057666607,-0.26834014,-0.011097608,-0.34840947,-0.0031751646,-0.07877803,0.17489193,-0.3942838,-0.39132348,-0.2599646,0.5598366,0.17799892,-0.33616272,0.34922224,-0.10952552,-0.15244308,-0.3380912,0.6643378,0.09376911,-0.035358664,-0.06242798,-0.56141424,0.4348542,-0.02180431,0.37994677,0.03740664,-0.08686903,0.3670413,-0.522413,0.097890906,-0.836023,-0.28350058,-0.5075016,-0.20075808,0.11638667,-0.122089274,-0.013401753,-0.17197782,0.31132036,0.20940115,-0.08999294,0.2258208,0.33042318,0.19749482,-0.040752318,0.47046626,-0.12436919,0.23273233,-0.14656244,0.20989498,0.29685065,0.39913085,0.24823847,-0.35525057,0.27717003,-0.3293629,0.2897274,-0.10018668,-0.06552519,0.09265425,0.6690171,0.10162467
Bacillus megaterium,-0.22047037,-0.041842755,-0.5121821,-0.26735485,0.1693174,-0.1765648,0.08896128,0.6577495,0.21131654,-0.575002,-0.22452608,-0.40885288,-0.8242102,0.06525845,-0.14558375,-0.4880885,0.021805327,-0.14276521,-0.045177836,-0.40198973,-0.19715905,-0.05311914,0.3444332,-0.045630462,-0.14797358,0.33859673,-0.33120444,-0.18666881,-0.12532632,0.23278181,-0.33756503,-0.1932384,0.05900611,-0.09596288,-0.53163266,0.010472173,0.27422294,-0.18601769,-0.106660865,-0.42047626,0.23412365,-0.0884936,-0.27947554,0.36664918,-0.18253607,0.004468076,0.18616052,-0.29903537,0.110499695,0.44869763,0.8115664,0.13417391,-0.04209314,-0.44158542,0.58257025,-0.25027528,0.25255793,-0.10719912,0.04107857,0.16361846,-0.024434105,0.12082841,0.64739174,-0.02106127,0.06704638,-0.23924404,0.26744255,0.09066618,-0.8174895,0.06122858,-0.13085762,0.20022443,0.26568598,-0.23756418,0.46580884,0.046209298,0.21094777,-0.17719623,-0.3644006,-0.10495141,-0.27694046,0.10709572,0.17043358,0.77036726,-0.32283574,0.039263964,0.05544444,-0.33087945,0.05920498,0.00067546073,-0.11875679,0.026529519,0.6652504,-0.5182853,-0.017351259,-0.27250355,0.14718182,-0.12987004,0.5842098,0.21499564
Staphylococcus warneri,0.108848594,-0.28036898,0.34189776,-0.15130025,0.109983645,-0.24903971,0.38229924,0.53799224,0.10010997,0.056249898,-0.44858927,-0.86520284,-0.106469646,0.12917396,0.4313374,-0.5724415,0.10310791,-0.48357332,-0.03514915,-0.38699856,0.25969663,0.2360542,0.16056767,-0.3015635,0.23453088,0.27493683,-0.42052004,0.19919114,-0.0028842753,-0.052065525,0.04958484,0.3657472,0.17799193,-0.1670535,-0.23656303,-0.20931008,-0.31287077,-0.18534513,0.19132549,-0.21309201,-0.27905688,-0.10262981,0.23242776,-0.07574344,0.03398507,0.03914118,-0.4262923,0.44028154,0.047588214,0.18940029,-0.17528653,-0.14665106,0.04168171,-0.12429374,-0.3787525,0.3751807,0.63731915,0.01953602,-0.10036174,0.46078303,0.17235245,-0.0048554693,-0.3505888,-0.24585357,-0.018654112,0.26839802,0.116567045,0.37752858,-0.42551014,0.16796814,0.14469835,0.3759543,0.019461691,-0.24840367,0.18050137,-0.14692616,0.10532359,-0.044146292,-0.32642105,0.050672356,-0.22582686,-0.27522528,0.03528543,0.3680583,-0.008962894,0.23574145,0.27688995,0.086429864,0.0048609376,0.06371736,0.6137078,0.11050401,0.09902225,0.08386266,-0.13517722,0.0047028614,-0.16639371,0.41947767,0.5208993,-0.06317566
Bacillus coagulans,-0.17152226,0.31667352,-0.08660969,-0.28549504,0.0052878917,-0.10639124,-0.07233523,0.380097,0.23147811,-0.28013793,0.12378739,0.44425282,-0.04522324,-0.23662682,-0.0053929393,-0.06453726,0.58109003,0.17776057,-0.048202284,-0.8389175,-0.11959776,0.01846751,0.2595647,-0.5721972,0.26542884,0.053747375,0.31656012,-0.175445,-0.3196813,-0.058402304,0.44880956,0.049199272,-0.2369187,-0.17026456,-0.35693616,0.24064082,-0.19515839,-0.13749288,0.07286001,-0.22719143,0.026108766,-0.14785898,-0.06966477,-0.45788604,0.26557696,-0.26341903,-0.0006394381,-0.32878643,0.23471731,0.07245022,0.31268358,-0.4413002,-0.04169787,0.65944517,-0.17955779,-0.13698761,0.1500396,0.015294562,-0.2177607,-0.00086101453,0.088081,0.04989744,-0.32353306,-0.29248527,-0.36072055,0.10428519,0.010288233,0.10055362,-0.44495854,-0.010379214,-0.0843408,0.17376788,0.4569373,-0.24895997,0.27481925,-0.34699607,0.075795695,0.07347957,-0.88620514,0.2854619,-0.07525355,0.32429582,-0.036345728,0.08861778,0.14838229,0.45217818,0.029964145,-0.25433347,0.18565731,0.23060295,0.36029512,0.4210086,0.4285874,-0.23155163,0.3962919,-0.23127791,0.44109765,-0.2778823,0.032610428,-0.012482846
Enterococcus faecium,0.16100454,0.32706115,-0.2260514,-0.19835894,0.2582408,-0.14871928,0.32276252,0.45138425,-0.32373917,-0.06371805,0.08105794,0.035388496,-0.06394592,-0.041765925,0.3464446,0.2028142,0.35526025,0.11790286,-0.10505685,-0.510846,-0.0594544,0.04962657,0.3862887,-0.5029736,-0.16754593,-0.041110728,-0.12202486,-0.11924936,-0.21394771,-0.23297055,0.14233543,-0.4021119,0.46302372,0.20036624,-0.03747427,0.23579295,0.04387208,0.032813467,-0.15953963,-0.46500632,-0.05612187,0.052882396,0.1344881,0.028668247,0.5165971,-0.17464155,0.03053901,-0.13083687,-0.06263545,0.10628385,-0.26618224,-0.0075778333,0.23808923,0.23779796,-0.23191772,-0.08224077,0.14164478,0.097598016,0.013817165,-0.51512134,0.04360659,-0.07782311,0.01846836,-0.040984627,-0.26788676,0.30352497,-0.07785001,0.07697901,-0.08348707,-0.031686,-0.18963955,0.07360631,0.17919132,0.3931859,0.07353549,0.26066896,-0.022813678,0.2920569,-0.51289016,-0.18068847,-0.21213885,-0.4406613,-0.02687262,-0.19061285,0.5434523,0.38227648,0.43445572,0.18074366,0.22507155,0.07569599,0.5697109,-0.074928775,0.03785323,0.049732346,0.27244928,0.20518622,-0.007044924,-0.26328,0.3101042,0.05568877
